Topic,Count,Name,Representation,Representative_Docs
21,15,21_college_housing food_costs_think,"['college', 'housing food', 'costs', 'think', 'critical', 'scholarship', 'community college', 'funding', 'housing', 'students need']","['i feel that housing and meal plans are priced too high. many students should experience living on campus but the pricing is so outrageous, that it is more affordable to live with family or rent a house.  campus living was so rewarding when i was in college.  i think its a great experience.', ""i would like to see more funds available to assist students with housing and food. i think it is critical to the health and safety of our students. it is also critical to their ability to stay in school and get a quality education. the opportunity scholarship is very helpful, but it doesn't cover everything our students need to get through and complete a degree."", ""honestly i don't think there's much the college can do to help. the issues are so much larger than many of us can address. high food prices, health costs, vehicle costs, home costs...... we can't afford to live anymore. i make 45k a year but being single with two kids i am broke every day of my life. i make too much to qualify for assistance but i can't afford to pay my bills and feed my kids.""]"
22,14,22_welfare_food lower_housing_transportation,"['welfare', 'food lower', 'housing', 'transportation', 'city', 'lower', 'public', 'housing food', 'items addition', 'jobs continue']","['we will increase public welfare restaurants and welfare housing', 'present lower costs for housing and food or give lower costing items in addition to current options.', 'provide less competitive more stable jobs so that someone can continue living in the same city if they want to.']"
23,14,23_share_students_resources_share information,"['share', 'students', 'resources', 'share information', 'students aware', 'reach students', 'students better', 'reach', 'resources students', 'aware']","['share information via text/email to students like newsletters.', ""make in-person or live presentations to classrooms. reach students where they are at and don't make them dig or do research to find help"", 'have tabling in key areas on campus often visited by students to share information regarding resources on/off campus to assist']"
24,13,24_better pay_wages higher_higher_pay,"['better pay', 'wages higher', 'higher', 'pay', 'wages', 'higher wages', 'better', 'higher pay', 'pay pay', 'reduce']","['better pay :)', 'better pay. pay less for benefits. help with bills program etc.', 'increased wages. remote work options to reduce expenses of vehicle wear & tare, fuel etc. reduce travel time and child care cost.']"
25,13,25_pantry_food pantry_continue_advertise food,"['pantry', 'food pantry', 'continue', 'advertise food', 'advertise', 'food', 'food groceries', 'multi departmentally', 'heartbreaking situation', 'food companies']","['continue to promote the food pantry. also contract with food companies that can offer to purchase food at a lower cost.', 'increase food pantry locations and available times. considering the logistics, find out how to make it available for people to pick up without fear of judgment.', 'the food pantry shelves are often empty, which is heartbreaking. this situation could be publicized more; also interfacing multi-departmentally (performance arts), with religious establishments, and the city for fundraisers could be a creative approach.']"
26,13,26_12 yes_œå_ÿå œå_ÿå,"['12 yes', 'œå', 'ÿå œå', 'ÿå', 'çš time', 'çš', 'çº äººå', 'çº', 'äººå çš', 'äººå']","['yes', '12', 'å\x90¬å\x8f–å\xad¦ç”ÿå’œå\x90„çº§äººå£«çš„æ„\x8fè§\x81']"
27,12,27_options affordable_options_cheaper food_cheaper,"['options affordable', 'options', 'cheaper food', 'cheaper', 'better options', 'healthy options', 'affordable', 'affordable options', 'lower cost', 'healthy']","['offer some cheaper food options', 'cheaper food options', 'better options and affordable.']"
28,11,28_gift cards_gift_cards_students need,"['gift cards', 'gift', 'cards', 'students need', 'meals students', 'need', 'vouchers students', 'pantry open', 'grocery', 'students']","['maybe provide grocery gift cards of $100 - $150 per month for students who pay for their own groceries.', 'the food bank is good. maybe meals for study groups. sub food gift cards for raffles or promotion events.', 'make people feel comfortable that this is a safe place to get the help they need. possibly have a mentor or someone they can talk to and go to for help if they may be embarrassed. do food drives and take pictures with lobos louie and lucy with a hashtag for some unm merchandise prize raffle.']"
29,11,29_housing food_hygiene_food housing_housing,"['housing food', 'hygiene', 'food housing', 'housing', 'vouchers utilities', 'self', 'aid', 'simple', 'pertaining', 'food limited']","['provide housing and food on a limited basis', 'facilitate access to resources pertaining to food and housing.', 'neither of those, but provide resources for daily needs: feminine hygiene, basic hygiene (deoderant, razors, toothbrush, soap, etc.), simple first aid items, etc.']"
30,10,30_cnm_nmjc_cnm food_cnm does,"['cnm', 'nmjc', 'cnm food', 'cnm does', 'does food', 'offers', 'currently', 'services', 'nice', 'does']","['there are already many plans in place to assist with wrap around services, food pantry, and clothing closet at nmjc. i would like nmjc to open it up to staff however. we might need help too sometimes.', 'cnm does food banks, which is really nice.  anyone with an id can get food, students and faculty.  great job cnm.', ""cnm does a food pantry. expanding and increasing how often it offers food as well as the types of food couldn't hurt.""]"
31,10,31_free food_food provide_events_food programs,"['free food', 'food provide', 'events', 'food programs', 'free', 'programs', 'provide free', 'liveathome', 'food crops', 'events events']","['provide more free food', 'provide more free food', 'offer more free food programs.']"
32,9,32_offer assistance_assistance_helping offer_hands helping,"['offer assistance', 'assistance', 'helping offer', 'hands helping', 'plenty improve', 'plenty', 'mental day', 'like doing', 'improve treatment', 'treatment']","['it seems like you are doing plenty already', 'offer more assistance', 'offer more assistance']"
33,8,33_food pantry_pantry_continue_signs food,"['food pantry', 'pantry', 'continue', 'signs food', 'prominent signs', 'pantry highlands', 'pantrys', 'opened food', 'signs', 'pantrys continue']","['continue to grow food pantry', 'the highlands satellites could have more prominent signs for food banks and other resources.', 'continue enhancing our food pantry.']"
34,7,34_staff wages_pay employees_employees_lower erb,"['staff wages', 'pay employees', 'employees', 'lower erb', 'equitable pay', 'pay practices', 'practices', 'practices pay', 'erb pay', 'erb']","['pay employees more:)', 'pay employees more so we are less rent burdened', 'raise staff wages, lower erb']"
35,7,35_lower prices_reduce_prices_intel does,"['lower prices', 'reduce', 'prices', 'intel does', 'posada costs', 'posada', 'mercado solution', 'mercado', 'reduce costs', 'low subsidize']","['the solution is to apply for government subsidies.', 'reduce cost of la posada', 'subsidize similarly to how intel does']"
36,6,36_cost living_living_wages_cost,"['cost living', 'living', 'wages', 'cost', 'local living', 'negotiate discounts', 'appropriate', 'complexes higher', 'yearly cost', 'increases income']","['pay appropriate wages / cost of living increases', 'income raise without premium raises. negotiate discounts in apartment complexes', 'higher wages based on local prices, housing allowance, purchasing programs']"
37,6,37_pay pay_pay_pay charge_pay appropriately,"['pay pay', 'pay', 'pay charge', 'pay appropriately', 'charge pay', 'appropriately pay', 'appropriately', 'charge', '', '']","['pay more', 'pay more, charge less', 'pay appropriately']"
38,6,38_canteen_cafeteria_vouchers free_solve problems,"['canteen', 'cafeteria', 'vouchers free', 'solve problems', 'building faculty', 'cafeteria low', 'cafeteria students', 'apartment building', 'canteen housing', 'open dormitory']","['provide a cafeteria with low cost meals. plan for dorms.', 'need to have a cafeteria for students to eat at and vouchers for free food', 'the faculty apartment building and the faculty canteen can be provided to solve the above problems.']"
39,6,39_pay money_money pay_higher salary_pay offer,"['pay money', 'money pay', 'higher salary', 'pay offer', 'offer pay', 'salary pay', 'pay', 'pay higher', 'money', 'salary']","['pay us more.', 'pay me more.', 'pay me a higher salary.']"
40,6,40_aumento_para_la_los,"['aumento', 'para', 'la', 'los', 'pudieran ayudar', 'ser para', 'si', 'renta', 'ser', 'pudieran']","['me gustaria la ayuda de despensar o como le dicen "" pantry ""', 'los bancã³ de comida debe ser para todos', 'buscar tener los fondos necesarios para abordar estas necesidades.']"
41,6,41_food drives_drives_throw casual_encourage community,"['food drives', 'drives', 'throw casual', 'encourage community', 'kitchen gardens', 'month food', 'host food', 'host', 'gardens hold', 'throw']","['host more food drives.', 'maybe have food drives at the shiprock site.', 'more food drives where we bring in food for distribution']"
42,6,42_food housing_insecure_housing insecure_help food,"['food housing', 'insecure', 'housing insecure', 'help food', 'type', 'families', 'insecurities', 'help', 'housing', 'housing insecurity']","['offer lower cost food and housing\nmake emergency food and housing available to staff and students\ncontinue destigmatizing these insecurities', 'offer free, public school, meals and healthcare, as well as access to partially subsidized housing for students and their families.\n\niâ€™m sure that many of these individuals and their families already qualify for this type of help, but if we could centralize it through the school, it might provide some stability. a type of touchstone in the community.', 'give departments more information about where students, faculty and staff can go on campus when they are food and housing insecure. create a fund to help those who are food or housing insecure.']"
43,5,43_resources_resources available_resources greater_increase awareness,"['resources', 'resources available', 'resources greater', 'increase awareness', 'share resources', 'greater access', 'events display', 'resources increase', 'display', 'community resources']","['more resources', 'do more events that display/share the resources available', 'greater access to resources and increase awareness of resources available']"
