Topic,Count,Name,Representation,Representative_Docs
10,13,10_pricey_slim_options_expensive,"['pricey', 'slim', 'options', 'expensive', 'pricy options', 'expect pay', 'available kind', 'expect', 'choice options', 'fine options']","['there are quite a few places but all pretty high priced.', 'the options are slim and pricey.', 'it is easily available but lower cost options would be welcome.']"
11,13,11_limited limited_limited_minimal sparse_sparse limited,"['limited limited', 'limited', 'minimal sparse', 'sparse limited', 'meager limited', 'meager', 'limited minimal', 'limited meager', 'sparse', 'minimal']","['limited.', 'limited', 'limited']"
12,12,12_good_good good_good decent_decent,"['good', 'good good', 'good decent', 'decent', 'pretty good', 'pretty', 'impeccable pretty', 'impeccable', 'good impeccable', 'decent good']","['so good', 'pretty good', 'pretty good']"
13,12,13_ok_ok fine_just ok_fine,"['ok', 'ok fine', 'just ok', 'fine', 'okay', 'itâ', 'excellent ok', 'itâ ok', 'fine good', 'itâ okay']","['they are ok.', ""it's ok."", ""it's ok""]"
14,12,14_limited limited_limited_limited better_ago far,"['limited limited', 'limited', 'limited better', 'ago far', 'far pretty', 'going limited', 'better years', 'limited cost', 'pretty limited', 'cost going']","['very limited', 'very limited', 'very limited']"
15,11,15_itâ limited_limited_limited itâ_itâ,"['itâ limited', 'limited', 'limited itâ', 'itâ', 'limited limited', 'horrible limited', 'fine limited', 'best itâ', 'limited best', 'limited fine']","['itâ€™s very limited.', 'itâ€™s very limited', 'itâ€™s limited']"
16,10,16_expensive_expensive expensive_costs_staff costs,"['expensive', 'expensive expensive', 'costs', 'staff costs', 'access expensive', 'prohibitive costs', 'options hard', 'needs students', 'student cost', 'high given']","['it is hard to access and it is expensive.', 'it is too expensive for the average student.', 'the cost is relatively high, given the needs of students, faculty, and staff.']"
17,10,17_adequate_adequate sufficient_sufficient_adequate expensive,"['adequate', 'adequate sufficient', 'sufficient', 'adequate expensive', 'sufficient adequate', 'scarcely adequate', 'scarcely', 'safeandreliable adequate', 'safeandreliable', 'safe adequate']","['adequate', 'it is adequate.', 'adequate']"
18,10,18_expensive expensive_expensive_expensive way_expensive exp,"['expensive expensive', 'expensive', 'expensive way', 'expensive exp', 'exp expensive', 'exp', 'way expensive', 'way', '', '']","['too expensive', 'too expensive', 'too expensive']"
19,9,19_hours_hours hours_limited choices_accessible,"['hours', 'hours hours', 'limited choices', 'accessible', 'limited', 'hours predictable', 'choices hours', 'business hours', 'choices available', 'calendar closings']","['there are extremely limited choices and hours of service.', 'it ought to be available during business hours, five days a week.', 'hours should be predictable, assisted by an accessible calendar with closings or limited hours - available far in advance.']"
20,8,20_es_necesita_mejorar_mejorar excelente,"['es', 'necesita', 'mejorar', 'mejorar excelente', 'vxcv', 'variedad bajo', 'variedad', 'recurso dsaavzxfv', 'recurso', 'precio vxcv']","['es escasa', 'es un buen recurso', 'necesita mã¡s variedad a bajo precio']"
21,8,21_ok_cool ok_open fine_ok kitchen,"['ok', 'cool ok', 'open fine', 'ok kitchen', 'ok cool', 'kitchen open', 'remote ok', 'cool', 'okay ok', 'ok okay']","['ok', 'ok', 'ok while the kitchen is open']"
22,8,22_need need_need_need poor_needed need,"['need need', 'need', 'need poor', 'needed need', 'need available', 'quality needed', 'available little', 'little nice', 'quality', 'nice need']","['poor quality', 'need to have more available.', 'better quality needed.']"
23,6,23_idea_good idea_nice_use nice,"['idea', 'good idea', 'nice', 'use nice', 'underused nice', 'underused', 'nice use', 'nice idea', 'idea underused', 'idea think']","[""it's is a nice idea"", 'good idea.', ""good idea but sometimes it's underused.""]"
24,6,24_don use_use_good expensive_great program,"['don use', 'use', 'good expensive', 'great program', 'use great', 'use don', 'try don', 'use time', 'time havenâ', 'havenâ']","[""don't use"", ""don't use"", 'it is good, but too expensive to use all the time.']"
25,5,25_staff person_costs decent_person cost_need cheaper,"['staff person', 'costs decent', 'person cost', 'need cheaper', 'needed available', 'lower costs', 'options low', 'like paying', 'paying need', 'decent options']","['should be available at lower costs', 'decent options available but as a staff person, often the cost is higher than i would like to be paying', 'more low cost options are needed.']"
26,5,26_idk_idk yes_idk idk_yes great,"['idk', 'idk yes', 'idk idk', 'yes great', 'yes', 'great', '', '', '', '']","['yes', 'idk', 'idk']"
